DeviceID,Trip,Time,GPS_Elevation,GPS_Fix_Quality,GPS_Hdop,GPS_Heading,GPS_Latitude,GPS_Longitude,GPS_Number_Satellites,GPS_Pdop,GPS_Speed,GPS_UTC_Time,GPS_Valid,DAS_Roll_Rate,DAS_Pitch_Rate,InVehicle_ABS_State,InVehicle_Brake_Status,InVehicle_Headlight_Status,InVehicle_Longitudinal_Accel,InVehicle_Longitudinal_Speed,InVehicle_PRNDL,InVehicle_Stability_Control_Status,InVehicle_Steering_Position,InVehicle_Throttle_Position,InVehicle_Traction_Control_Status,InVehicle_Turn_Signal_Left,InVehicle_Turn_Signal_Right,InVehicle_Wiper_Status,InVehicle_Yaw_Rate,LaneTrack_Crossing_Left,LaneTrack_Crossing_Right,LaneTrack_Distance_Left_Marker,LaneTrack_Distance_Right_Marker,LaneTrack_Lane_Width,LaneTrack_Probability_Left_Exist,LaneTrack_Probability_Right_Exists,LaneTrack_Shift_Aborted,LaneTrack_Shift_Left,LaneTrack_Shift_Right,LaneTrack_Shift_Successful,LaneTrack_Type_LeftLane_LeftMarker,LaneTrack_Type_LeftLane_RightMarker,LaneTrack_Type_RightLane_LeftMarker,LaneTrack_Type_RightLane_RightMarker,Video_Frame,Video_Front,Video_Overlay,Object_Left_F,Object_Right_F,Object_Left_B,Object_Right_B,DVISwitchState
10,1417759,1000,237.292999,2,0.89,105.709999,42.305202,-83.707832,10,1.55,7.909264,1365722993900,1,-0.975586,1.951172,2,15,0,-0.6074,7.705555,2,1,44.28125,0,2,0,0,0,5.5,0,0,-1742,3666,3657.599854,36,456,0,0,0,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1417759,1100,237.393005,2,0.89,106.959999,42.305199,-83.707825,10,1.55,7.646153,1365722994000,1,-2.601563,1.625977,2,15,0,-0.685,7.655556,2,1,51.09375,0,2,0,0,0,6.7,0,0,-1915,3682,3657.599854,31,451,0,0,0,0,2,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1417759,1200,237.393005,2,0.89,107.080002,42.305199,-83.707809,10,1.55,7.687264,1365722994100,1,-3.251953,0.650391,2,15,0,-0.4522,7.6,2,1,58.6875,0,2,0,0,0,7.8,0,0,-1777,3586,3657.599854,16,446,0,0,0,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1417759,1300,237.393005,2,0.89,108.230003,42.305195,-83.707802,10,1.55,7.617375,1365722994200,1,-3.251953,0,2,15,0,-0.6074,7.530556,2,1,64.875,0,2,0,0,0,8.7,0,0,-1793,3474,3657.599854,15,446,0,0,0,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1417759,1400,237.393005,2,0.89,107.389999,42.305195,-83.707794,10,1.55,7.479653,1365722994300,1,-2.926758,0,2,15,0,-0.5298,7.45,2,1,74.5,0,2,0,0,0,9.5,0,0,-1513,3454,3657.599854,15,459,0,0,0,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1417759,1500,237.393005,2,0.89,109.260002,42.305191,-83.707787,10,1.55,7.540805,1365722994400,1,-2.276367,0,2,15,0,-0.4522,7.416667,2,1,82.59375,0,2,0,0,0,11,0,0,-1578,3389,3657.599854,4,459,0,0,0,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1417759,1600,237.393005,2,0.89,110.150002,42.305187,-83.707779,10,1.55,7.460639,1365722994500,1,-2.926758,0.650391,2,15,0,-0.4522,7.408333,2,1,85.78125,0,2,0,0,0,12.2,0,0,-1578,3389,3657.599854,4,459,0,0,0,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1417759,1700,237.393005,2,0.89,111.540001,42.305187,-83.707771,10,1.55,7.420556,1365722994600,1,-2.926758,0,2,15,0,-0.4522,7.366667,2,1,85.78125,0,2,0,0,0,12.5,0,0,-1578,3389,3657.599854,4,459,0,0,0,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1417759,1800,237.393005,2,0.89,112.309998,42.305183,-83.707764,10,1.55,7.298764,1365722994700,1,-1.951172,-1.951172,2,15,0,-0.4522,7.291667,2,1,85.78125,0,2,0,0,0,11.9,0,0,-1300,3662,3657.599854,4,463,0,0,0,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1417759,1900,237.492996,2,0.89,113.769997,42.30518,-83.707756,10,1.55,7.287458,1365722994800,1,-0.975586,-2.276367,2,0,0,-0.4522,7.225,2,1,85.78125,0,2,0,0,0,11.8,0,0,-1300,3662,3657.599854,4,463,0,0,0,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
